0.823529,0,0.802435,0.310434,0.401218,0.310434,0.770280,0.529726,0.401218,0.666858,0.638791,0.827788
0.968627,0,0.891218,0.266951,0.445609,0.266951,0.856895,0.597956,0.445609,0.745126,0.709752,0.862244
0.972549,0,0.960939,0.039777,0.480470,0.039777,0.957584,0.496526,0.480470,0.728893,0.768745,0.958913
0.933333,0,0.925321,0.269273,0.462660,0.269273,0.899452,0.581876,0.462660,0.754010,0.738482,0.930292
0.921569,0,0.888180,0.042661,0.444090,0.042661,0.884225,0.461586,0.444090,0.675164,0.710532,0.883601
0.968627,0,0.869505,0.307882,0.434752,0.307882,0.834539,0.586172,0.434752,0.728426,0.692154,0.898434
0.423529,1,0.854677,0.290780,0.427339,0.290780,0.820378,0.573340,0.427339,0.714627,0.680354,0.828021
0.341176,1,0.764463,0.289504,0.382232,0.289504,0.732549,0.503742,0.382232,0.635073,0.608296,0.704464
0.968627,0,0.953841,0.038247,0.476920,0.038247,0.950078,0.494798,0.476920,0.724492,0.763098,0.958402
0.807843,0,0.814326,0.034271,0.407163,0.034271,0.811651,0.418010,0.407163,0.616663,0.651505,0.807919
0.858824,0,0.872109,0.043499,0.436055,0.043499,0.868043,0.453715,0.436055,0.663231,0.697882,0.872193
0.929412,0,0.898333,0.270396,0.449166,0.270396,0.870176,0.575144,0.449166,0.737211,0.716719,0.923103
0.870588,0,0.850238,0.306890,0.425119,0.306890,0.820371,0.551594,0.425119,0.701509,0.677613,0.793626
0.952941,0,0.957350,0.044121,0.478675,0.044121,0.954092,0.494209,0.478675,0.725943,0.765875,0.958516
0.800000,0,0.800018,0.018808,0.400009,0.500000,0.797609,0.409605,0.400009,0.605367,0.640178,0.804216
0.921569,0,0.897513,0.259954,0.448756,0.259954,0.885581,0.502091,0.448756,0.700134,0.717784,0.909889
0.811765,0,0.813783,0.014464,0.406892,0.500000,0.811920,0.414442,0.406892,0.614603,0.651201,0.811926
0.964706,0,0.958237,0.033856,0.479119,0.033856,0.955239,0.493427,0.479119,0.725992,0.766618,0.957965
0.831373,0,0.852680,0.054394,0.426340,0.054394,0.847234,0.449470,0.426340,0.651458,0.682174,0.846281
0.345098,1,0.778193,0.273772,0.389096,0.273772,0.741387,0.531746,0.389096,0.655898,0.618302,0.700275
0.870588,0,0.884775,0.039685,0.442387,0.039685,0.880864,0.459623,0.442387,0.672487,0.707918,0.880100
0.788235,0,0.791414,0.250496,0.395707,0.250496,0.786420,0.415390,0.395707,0.604019,0.633135,0.792053
0.772549,0,0.756385,0.283545,0.378193,0.283545,0.725374,0.495016,0.378193,0.626715,0.602040,0.786218
0.796078,0,0.767258,0.274764,0.383629,0.274764,0.737400,0.497728,0.383629,0.633431,0.610949,0.794472
0.843137,0,0.860140,0.096993,0.430070,0.096993,0.853733,0.457513,0.430070,0.659197,0.688014,0.844453
0.941176,0,0.884818,0.318008,0.442409,0.318008,0.852170,0.586282,0.442409,0.736086,0.704958,0.934154
1.000000,0,0.995383,0.016332,0.497692,0.500000,0.993986,0.504619,0.497692,0.750110,0.796393,0.999393
0.784314,0,0.811564,0.016055,0.405782,0.500000,0.809605,0.413701,0.405782,0.613133,0.649273,0.810364
0.847059,0,0.849023,0.291180,0.424511,0.291180,0.822553,0.536442,0.424511,0.693301,0.677213,0.848317
0.949020,0,0.954852,0.038055,0.477426,0.038055,0.951198,0.494807,0.477426,0.725000,0.763925,0.956031
0.803922,0,0.795174,0.259270,0.397587,0.259270,0.784519,0.439787,0.397587,0.618123,0.635807,0.800696
0.968627,0,0.964546,0.030135,0.482273,0.030135,0.961649,0.496188,0.482273,0.730519,0.771694,0.966442
0.796078,0,0.800045,0.040285,0.400022,0.040285,0.796947,0.412363,0.400022,0.606765,0.640030,0.800557
0.827451,0,0.812851,0.024629,0.406426,0.500000,0.810096,0.417579,0.406426,0.615716,0.650354,0.814244
0.874510,0,0.802416,0.274617,0.401208,0.274617,0.765018,0.550667,0.401208,0.677360,0.637705,0.815936
0.839216,0,0.792792,0.297586,0.396396,0.297586,0.758747,0.530823,0.396396,0.662643,0.630645,0.727376
0.419608,1,0.839442,0.271872,0.419721,0.271872,0.802835,0.572771,0.419721,0.706787,0.667974,0.753547
0.858824,0,0.860003,0.023783,0.430002,0.500000,0.857708,0.439832,0.430002,0.650254,0.688009,0.860187
0.968627,0,0.922187,0.050903,0.461094,0.050903,0.918051,0.480092,0.461094,0.701359,0.737830,0.924158
0.839216,0,0.849977,0.025521,0.424989,0.500000,0.847202,0.436737,0.424989,0.643726,0.680015,0.851756
0.850980,0,0.823153,0.269566,0.411576,0.269566,0.799577,0.508229,0.411576,0.666318,0.656973,0.848513
0.933333,0,0.835733,0.278993,0.417867,0.278993,0.799566,0.568407,0.417867,0.702757,0.664794,0.859698
0.760784,0,0.731747,0.263199,0.365873,0.263199,0.715196,0.426191,0.365873,0.580059,0.584602,0.747694
0.964706,0,0.940857,0.035017,0.470428,0.035017,0.937313,0.487035,0.470428,0.714133,0.752708,0.944925
0.960784,0,0.960642,0.028089,0.480321,0.500000,0.957454,0.495575,0.480321,0.728268,0.768705,0.958564
0.952941,0,0.929946,0.274502,0.464973,0.274502,0.902940,0.590048,0.464973,0.760412,0.742180,0.958548
0.917647,0,0.932444,0.045083,0.466222,0.045083,0.929024,0.482103,0.466222,0.707471,0.745960,0.932529
0.815686,0,0.801747,0.277839,0.400873,0.277839,0.776178,0.502971,0.400873,0.653088,0.639444,0.826221
0.945098,0,0.871228,0.312964,0.435614,0.312964,0.839417,0.573648,0.435614,0.722996,0.694124,0.900442
0.901961,0,0.864785,0.272787,0.432393,0.272787,0.835880,0.556888,0.432393,0.711384,0.689518,0.904785
0.862745,0,0.877838,0.030465,0.438919,0.030465,0.874361,0.454119,0.438919,0.666279,0.702260,0.876245
0.894118,0,0.917586,0.042968,0.458793,0.042968,0.913579,0.477107,0.458793,0.697573,0.734100,0.910766
0.960784,0,0.959228,0.035140,0.479614,0.035140,0.955931,0.495367,0.479614,0.727459,0.767411,0.955679
0.925490,0,0.866123,0.272541,0.433062,0.272541,0.829616,0.590543,0.433062,0.728942,0.689115,0.888807
0.921569,0,0.815845,0.284514,0.407922,0.284514,0.775777,0.570730,0.407922,0.694074,0.647923,0.765318
0.800000,0,0.814995,0.023322,0.407498,0.500000,0.813004,0.415582,0.407498,0.615775,0.652013,0.813491
0.796078,0,0.807836,0.056855,0.403918,0.056855,0.803680,0.420640,0.403918,0.614772,0.646252,0.815801
0.815686,0,0.880509,0.044214,0.440255,0.044214,0.876814,0.456461,0.440255,0.668781,0.704391,0.876228
0.909804,0,0.911126,0.051895,0.455563,0.051895,0.905968,0.478969,0.455563,0.695294,0.728856,0.906300
0.803922,0,0.810712,0.012672,0.405356,0.500000,0.808790,0.413115,0.405356,0.612418,0.648712,0.810315
